zipcode,cbsasub
01364,METRO44140M25011
01366,METRO49340N25027
01367,METRO44140M25011
01368,METRO49340N25027
01370,METRO44140M25011
01373,METRO44140M25011
01375,METRO44140M25011
01376,METRO44140M25011
01378,METRO44140M25011
01379,METRO44140M25011
01380,METRO44140M25011
01420,METRO49340MM2600
01430,METRO49340MM2600
01431,METRO14460MM1120
01432,METRO14460MM1120
01434,METRO49340MM1120
01436,METRO49340MM2600
01438,METRO49340MM2600
01440,METRO49340MM2600
01450,METRO14460MM4560
01451,METRO49340MM1120
01452,METRO49340N25027
01453,METRO49340MM2600
01460,METRO14460MM1120
01462,METRO49340MM2600
01463,METRO14460MM4560
01464,METRO14460MM1120
01468,METRO49340MM2600
01469,METRO14460MM1120
01473,METRO49340MM2600
01474,METRO14460MM1120
01475,METRO49340MM2600
01501,METRO49340M49340
01503,METRO49340MM1120
01504,METRO49340MM1120
01505,METRO49340M49340
01506,METRO49340M49340
01507,METRO49340M49340
01510,METRO49340M49340
01515,METRO49340M49340
01516,METRO49340M49340
01518,METRO49340M49340
01519,METRO49340M49340
01520,METRO49340M49340
01521,METRO44140M44140
01522,METRO49340M49340
01523,METRO49340MM1120
01524,METRO49340M49340
01525,METRO49340M49340
01527,METRO49340M49340
01529,METRO49340MM1120
01531,METRO49340N25027
01532,METRO49340M49340
01534,METRO49340M49340
01535,METRO49340M49340
01536,METRO49340M49340
01537,METRO49340M49340
01540,METRO49340M49340
01541,METRO49340M49340
01542,METRO49340M49340
01543,METRO49340M49340
01545,METRO49340M49340
01550,METRO49340M49340
01560,METRO49340M49340
01561,METRO49340MM1120
01562,METRO49340M49340
01564,METRO49340M49340
01566,METRO49340M49340
01568,METRO49340MM1120
01569,METRO49340M49340
01570,METRO49340M49340
01571,METRO49340M49340
01581,METRO49340M49340
01583,METRO49340M49340
01585,METRO49340M49340
01588,METRO49340M49340
01590,METRO49340M49340
01602,METRO49340M49340
01603,METRO49340M49340
01604,METRO49340M49340
01605,METRO49340M49340
01606,METRO49340M49340
01607,METRO49340M49340
01608,METRO49340M49340
01609,METRO49340M49340
01610,METRO49340M49340
01611,METRO49340M49340
01612,METRO49340M49340
01701,METRO14460MM1120
01702,METRO14460MM1120
01718,METRO14460MM1120
01719,METRO14460MM1120
01720,METRO14460MM1120
01721,METRO14460MM1120
01730,METRO14460MM1120
01731,METRO14460MM1120
01740,METRO49340MM1120
01741,METRO14460MM1120
01742,METRO14460MM1120
01745,METRO49340MM1120
01746,METRO14460MM1120
01747,METRO49340MM1120
01748,METRO14460MM1120
01749,METRO14460MM1120
01752,METRO14460MM1120
01754,METRO14460MM1120
01756,METRO49340MM1120
01757,METRO49340MM1120
01760,METRO14460MM1120
01770,METRO14460MM1120
01772,METRO49340MM1120
01773,METRO14460MM1120
01775,METRO14460MM1120
01776,METRO14460MM1120
01778,METRO14460MM1120
01801,METRO14460MM1120
01803,METRO14460MM1120
01810,METRO14460MM4160
01821,METRO14460MM4560
01824,METRO14460MM4560
01826,METRO14460MM4560
01827,METRO14460MM4560
01830,METRO14460MM4160
01832,METRO14460MM4160
01833,METRO14460MM4160
01834,METRO14460MM4160
01835,METRO14460MM4160
01840,METRO14460MM4160
01841,METRO14460MM4160
01843,METRO14460MM4160
01844,METRO14460MM4160
01845,METRO14460MM4160
01850,METRO14460MM4560
01851,METRO14460MM4560
01852,METRO14460MM4560
01854,METRO14460MM4560
01860,METRO14460MM4160
01862,METRO14460MM4560
01863,METRO14460MM4560
01864,METRO14460MM1120
01867,METRO14460MM1120
01876,METRO14460MM4560
01879,METRO14460MM4560
01880,METRO14460MM1120
01886,METRO14460MM4560
01887,METRO14460MM1120
01890,METRO14460MM1120
01901,METRO14460MM1120
01902,METRO14460MM1120
01904,METRO14460MM1120
01905,METRO14460MM1120
01906,METRO14460MM1120
01907,METRO14460MM1120
01908,METRO14460MM1120
01913,METRO14460MM1120
01915,METRO14460MM1120
01921,METRO14460MM4160
01922,METRO14460MM1120
01923,METRO14460MM1120
01929,METRO14460MM1120
01930,METRO14460MM1120
01937,METRO14460MM1120
01938,METRO14460MM1120
01940,METRO14460MM1120
01944,METRO14460MM1120
01945,METRO14460MM1120
01949,METRO14460MM1120
01950,METRO14460MM1120
01951,METRO14460MM1120
01952,METRO14460MM1120
01960,METRO14460MM1120
01965,METRO14460MM1120
01966,METRO14460MM1120
01969,METRO14460MM1120
01970,METRO14460MM1120
01982,METRO14460MM1120
01983,METRO14460MM1120
01984,METRO14460MM1120
01985,METRO14460MM4160
02019,METRO14460MM1120
02021,METRO14460MM1120
02025,METRO14460MM1120
02026,METRO14460MM1120
02030,METRO14460MM1120
02032,METRO14460MM1120
02035,METRO14460MM1120
02038,METRO14460MM1120
02043,METRO14460MM1120
02045,METRO14460MM1120
02047,METRO14460MM1120
02048,METRO39300MM1120
02050,METRO14460MM1120
02052,METRO14460MM1120
02053,METRO14460MM1120
02054,METRO14460MM1120
02056,METRO14460MM1120
02061,METRO14460MM1120
02062,METRO14460MM1120
02066,METRO14460MM1120
02067,METRO14460MM1120
02071,METRO14460MM1120
02072,METRO14460MM1120
02081,METRO14460MM1120
02090,METRO14460MM1120
02093,METRO14460MM1120
02108,METRO14460MM1120
02109,METRO14460MM1120
02110,METRO14460MM1120
02111,METRO14460MM1120
02113,METRO14460MM1120
02114,METRO14460MM1120
02115,METRO14460MM1120
02116,METRO14460MM1120
02118,METRO14460MM1120
02119,METRO14460MM1120
02120,METRO14460MM1120
02121,METRO14460MM1120
02122,METRO14460MM1120
02124,METRO14460MM1120
02125,METRO14460MM1120
02126,METRO14460MM1120
02127,METRO14460MM1120
02128,METRO14460MM1120
02129,METRO14460MM1120
02130,METRO14460MM1120
02131,METRO14460MM1120
02132,METRO14460MM1120
02133,METRO14460MM1120
02134,METRO14460MM1120
02135,METRO14460MM1120
02136,METRO14460MM1120
02138,METRO14460MM1120
02139,METRO14460MM1120
02140,METRO14460MM1120
02141,METRO14460MM1120
02142,METRO14460MM1120
02143,METRO14460MM1120
02144,METRO14460MM1120
02145,METRO14460MM1120
02148,METRO14460MM1120
02149,METRO14460MM1120
02150,METRO14460MM1120
02151,METRO14460MM1120
02152,METRO14460MM1120
02155,METRO14460MM1120
02163,METRO14460MM1120
02169,METRO14460MM1120
02170,METRO14460MM1120
02171,METRO14460MM1120
02176,METRO14460MM1120
02180,METRO14460MM1120
02184,METRO14460MM1120
02186,METRO14460MM1120
02188,METRO14460MM1120
02189,METRO14460MM1120
02190,METRO14460MM1120
02191,METRO14460MM1120
02199,METRO14460MM1120
02203,METRO14460MM1120
02205,METRO14460MM1120
02210,METRO14460MM1120
02215,METRO14460MM1120
02301,METRO14460MM1200
02302,METRO14460MM1200
02322,METRO14460MM1200
02324,METRO14460MM1200
02325,METRO14460MM1200
02330,METRO14460MM1120
02332,METRO14460MM1120
02333,METRO14460MM1200
02338,METRO14460MM1200
02339,METRO14460MM1120
02341,METRO14460MM1200
02343,METRO14460MM1120
02346,METRO14460MM1200
02347,METRO14460MM1200
02350,METRO14460MM1200
02351,METRO14460MM1200
02356,METRO39300MM1200
02357,METRO39300MM1200
02359,METRO14460MM1120
02360,METRO14460MM1120
02364,METRO14460MM1120
02366,METRO14460MM1120
02367,METRO14460MM1200
02368,METRO14460MM1120
02370,METRO14460MM1120
02375,METRO39300MM1200
02379,METRO14460MM1200
02382,METRO14460MM1200
02420,METRO14460MM1120
02421,METRO14460MM1120
02445,METRO14460MM1120
02446,METRO14460MM1120
02451,METRO14460MM1120
02452,METRO14460MM1120
02453,METRO14460MM1120
02457,METRO14460MM1120
02458,METRO14460MM1120
02459,METRO14460MM1120
02460,METRO14460MM1120
02461,METRO14460MM1120
02462,METRO14460MM1120
02464,METRO14460MM1120
02465,METRO14460MM1120
02466,METRO14460MM1120
02467,METRO14460MM1120
02468,METRO14460MM1120
02472,METRO14460MM1120
02474,METRO14460MM1120
02476,METRO14460MM1120
02478,METRO14460MM1120
02481,METRO14460MM1120
02482,METRO14460MM1120
02492,METRO14460MM1120
02493,METRO14460MM1120
02494,METRO14460MM1120
02532,METRO12700M12700
02534,METRO12700M12700
02535,NCNTY25007N25007
02536,METRO12700M12700
02537,METRO12700M12700
02538,METRO14460MM1120
02539,NCNTY25007N25007
02540,METRO12700M12700
02542,METRO12700M12700
02543,NCNTY25007N25007
02553,METRO12700M12700
02554,NCNTY25019N25019
02556,METRO12700M12700
02557,NCNTY25007N25007
02558,METRO14460MM1120
02559,METRO12700M12700
02561,METRO12700M12700
02562,METRO12700M12700
02563,METRO12700M12700
02564,NCNTY25019N25019
02568,NCNTY25007N25007
02571,METRO14460MM1120
02575,NCNTY25007N25007
02576,METRO14460MM1120
02584,NCNTY25019N25019
02601,METRO12700M12700
02630,METRO12700M12700
02631,METRO12700M12700
02632,METRO12700M12700
02633,METRO12700M12700
02635,METRO12700M12700
02637,METRO12700M12700
02638,METRO12700M12700
02639,METRO12700M12700
02641,METRO12700M12700
02642,METRO12700M12700
02643,METRO12700M12700
02644,METRO12700M12700
02645,METRO12700M12700
02646,METRO12700M12700
02647,METRO12700M12700
02648,METRO12700M12700
02649,METRO12700M12700
02650,METRO12700M12700
02652,METRO12700M12700
02653,METRO12700M12700
02655,METRO12700M12700
02657,METRO12700M12700
02659,METRO12700M12700
02660,METRO12700M12700
02663,METRO12700M12700
02664,METRO12700M12700
02666,METRO12700M12700
02667,METRO12700M12700
02668,METRO12700M12700
02670,METRO12700M12700
02671,METRO12700M12700
02672,METRO12700M12700
02673,METRO12700M12700
02675,METRO12700M12700
02702,METRO39300MM5400
02703,METRO39300M39300
02713,NCNTY25007N25007
02715,METRO39300MM1120
02717,METRO39300MM5400
02718,METRO39300MM1120
02719,METRO39300MM5400
02720,METRO39300M39300
02721,METRO39300M39300
02723,METRO39300M39300
02724,METRO39300M39300
02725,METRO39300M39300
02726,METRO39300M39300
02738,METRO14460MM1200
02739,METRO14460MM1200
02740,METRO39300MM5400
02743,METRO39300MM5400
02744,METRO39300MM5400
02745,METRO39300MM5400
02746,METRO39300MM5400
02747,METRO39300MM5400
02748,METRO39300MM5400
02760,METRO39300M39300
02762,METRO14460MM1120
02763,METRO39300M39300
02764,METRO39300MM1120
02766,METRO39300MM1120
02767,METRO39300MM1200
02769,METRO39300M39300
02770,METRO14460MM1200
02771,METRO39300M39300
02777,METRO39300M39300
02779,METRO39300MM1120
02780,METRO39300MM1120
02790,METRO39300M39300
02791,METRO39300M39300
02802,METRO39300M39300
02804,METRO39300MM5520
02806,METRO39300M39300
02807,METRO39300MM5520
02808,METRO39300MM5520
02809,METRO39300M39300
02812,METRO39300M39300
02813,METRO39300M39300
02814,METRO39300M39300
02815,METRO39300M39300
02816,METRO39300M39300
02817,METRO39300M39300
02818,METRO39300M39300
02822,METRO39300M39300
02823,METRO39300M39300
02824,METRO39300M39300
02825,METRO39300M39300
02826,METRO39300M39300
02827,METRO39300M39300
02828,METRO39300M39300
02829,METRO39300M39300
02830,METRO39300M39300
02831,METRO39300M39300
02832,METRO39300MM5520
02833,METRO39300MM5520
02835,METRO39300M39300
02836,METRO39300M39300
02837,METRO39300M39300
02838,METRO39300M39300
02839,METRO39300M39300
02840,METRO39300N44005
02841,METRO39300N44005
02842,METRO39300N44005
02852,METRO39300M39300
02857,METRO39300M39300
02858,METRO39300M39300
02859,METRO39300M39300
02860,METRO39300M39300
02861,METRO39300M39300
02863,METRO39300M39300
02864,METRO39300M39300
02865,METRO39300M39300
02871,METRO39300N44005
02872,METRO39300N44005
02873,METRO39300MM5520
02874,METRO39300M39300
02875,METRO39300M39300
02876,METRO39300M39300
02878,METRO39300M39300
02879,METRO39300M39300
02881,METRO39300M39300
02882,METRO39300M39300
02885,METRO39300M39300
02886,METRO39300M39300
02888,METRO39300M39300
02889,METRO39300M39300
02891,METRO39300MM5520
02892,METRO39300M39300
02893,METRO39300M39300
02894,METRO39300M39300
02895,METRO39300M39300
02896,METRO39300M39300
02898,METRO39300M39300
02903,METRO39300M39300
02904,METRO39300M39300
02905,METRO39300M39300
02906,METRO39300M39300
02907,METRO39300M39300
02908,METRO39300M39300
02909,METRO39300M39300
02910,METRO39300M39300
02911,METRO39300M39300
02912,METRO39300M39300
02914,METRO39300M39300
02915,METRO39300M39300
02916,METRO39300M39300
02917,METRO39300M39300
02918,METRO39300M39300
02919,METRO39300M39300
02920,METRO39300M39300
