zcta,geography_id,intersection_proportion
00766,3277,0.934178
00767,54,1.0
00767,3237,0.006436
00767,3278,0.993564
00769,54,1.0
00769,3223,0.980475
00769,3269,0.019525
00771,54,1.0
00771,3237,0.010272
00771,3245,0.989728
00772,54,1.0
00772,3246,1.0
00773,54,1.0
00773,3247,1.0
00775,54,1.0
00775,3226,1.0
00777,54,1.0
00777,3216,0.000791
00777,3234,0.000409
00777,3241,0.986525
00777,3245,0.004486
00777,3267,0.007788
00778,54,1.0
00778,3234,0.940882
00778,3267,0.059118
00780,54,1.0
00780,3240,0.019093
00780,3259,0.980907
00782,54,1.0
00782,3211,0.026091
00782,3224,0.973909
00783,54,1.0
00783,3211,0.009246
00783,3225,0.990623
00783,3270,0.000131
00784,54,1.0
00784,3219,0.014845
00784,3231,0.97361
00784,3257,0.011546
00786,54,1.0
00786,3206,1.0
00791,54,1.0
00791,3237,0.979503
00791,3245,0.011327
00791,3278,0.00917
00794,54,1.0
00794,3211,0.965404
00794,3223,0.034596
00795,54,1.0
00795,3240,0.999885
00795,3256,3e-06
00795,3259,3.6e-05
00795,3277,7.6e-05
00802,55,1.0
00802,3282,1.0
00820,55,1.0
00820,3280,1.0
00830,55,1.0
00830,3281,1.0
00840,55,1.0
00840,3280,1.0
00850,55,1.0
00850,3280,1.0
00851,55,1.0
00851,3280,1.0
00901,54,1.0
00901,3266,1.0
00906,54,1.0
00906,3266,1.0
00907,54,1.0
00907,3266,1.0
00909,54,1.0
00909,3266,1.0
00911,54,1.0
00911,3266,1.0
00912,54,1.0
00912,3266,1.0
00913,54,1.0
00913,3266,1.0
00915,54,1.0
00915,3266,1.0
00917,54,1.0
00917,3266,1.0
00918,54,1.0
00918,3266,1.0
00920,54,1.0
00920,3266,1.0
00921,54,1.0
00921,3266,1.0
00923,54,1.0
00923,3266,1.0
00924,54,1.0
00924,3217,0.032441
00924,3266,0.967559
00925,54,1.0
00925,3266,1.0
00926,54,1.0
00926,3233,0.008033
00926,3266,0.835321
00926,3272,0.156646
00927,54,1.0
00927,3266,1.0
00934,54,1.0
00934,3212,0.313921
00934,3233,0.686079
00949,54,1.0
00949,3218,0.073019
00949,3270,0.008465
00949,3271,0.918516
00950,54,1.0
00950,3227,1.0
00951,54,1.0
00951,3271,1.0
00952,54,1.0
00952,3271,1.0
00953,54,1.0
00953,3225,0.007919
00953,3270,0.984862
00953,3271,0.007219
00956,54,1.0
00956,3205,0.014096
00956,3212,0.978807
00956,3270,0.007097
00957,54,1.0
00957,3212,0.932103
00957,3270,0.067897
00959,54,1.0
00959,3212,0.986994
00959,3233,0.007415
00959,3270,0.002135
00959,3271,0.003456
00960,54,1.0
00960,3212,1.0
00961,54,1.0
00961,3212,0.99044
00961,3218,0.00956
00962,54,1.0
00962,3218,0.884276
00962,3233,0.115724
00965,54,1.0
00965,3233,1.0
00966,54,1.0
00966,3212,0.065387
00966,3233,0.85503
00966,3266,0.079583
00968,54,1.0
00968,3233,1.0
00969,54,1.0
00969,3212,0.037513
00969,3233,0.85095
00969,3266,0.111537
00971,54,1.0
00971,3233,1.0
00976,54,1.0
00976,3217,0.024465
00976,3234,0.006576
00976,3266,0.021702
00976,3272,0.947258
00979,54,1.0
00979,3217,1.0
00982,54,1.0
00982,3217,1.0
00983,54,1.0
00983,3217,1.0
00985,54,1.0
00985,3217,1.0
00987,54,1.0
00987,3217,0.998422
00987,3272,0.001578
01001,21,1.0
01001,1273,1.0
01002,21,1.0
01002,1272,0.067163
01002,1274,0.932837
01003,21,1.0
01003,1274,1.0
01005,21,1.0
01005,1280,1.0
01007,21,1.0
01007,1274,1.0
01008,21,1.0
01008,1268,0.05636
01008,1273,0.94364
01009,21,1.0
01009,1273,1.0
01010,21,1.0
01010,1273,0.987256
01010,1280,0.012744
01011,21,1.0
01011,1273,0.774986
01011,1274,0.225014
01012,21,1.0
01012,1274,1.0
01013,21,1.0
01013,1273,1.0
01020,21,1.0
01020,1273,1.0
01020,3326,0.002298
01022,21,1.0
01022,1273,1.0
01026,21,1.0
01026,1268,0.095613
01026,1274,0.904387
01027,21,1.0
01027,1274,1.0
01028,21,1.0
01028,1273,1.0
01028,3326,0.000507
01029,21,1.0
01029,1268,1.0
01030,21,1.0
01030,1273,1.0
01031,21,1.0
01031,1280,1.0
01032,21,1.0
01032,1274,1.0
01033,21,1.0
01033,1274,1.0
01034,21,1.0
01034,1273,1.0
01035,21,1.0
01035,1274,1.0
01036,21,1.0
01036,1273,1.0
01037,21,1.0
01037,1280,1.0
01038,21,1.0
01038,1274,1.0
01039,21,1.0
01039,1272,0.413596
01039,1274,0.586404
01040,21,1.0
01040,1273,1.0
01050,21,1.0
01050,1273,0.310135
01050,1274,0.689865
01053,21,1.0
01053,1274,1.0
01054,21,1.0
01054,1272,1.0
01056,21,1.0
01056,1273,1.0
01057,21,1.0
01057,1273,1.0
01060,21,1.0
01060,1274,1.0
01062,21,1.0
01062,1274,1.0
01063,21,1.0
01063,1274,1.0
01066,21,1.0
01066,1274,1.0
01068,21,1.0
01068,1280,1.0
01069,21,1.0
01069,1273,0.999658
01069,1274,0.000342
01070,21,1.0
01070,1268,0.005862
01070,1274,0.994138
01071,21,1.0
01071,1273,1.0
01072,21,1.0
01072,1272,1.0
01073,21,1.0
01073,1274,1.0
01074,21,1.0
01074,1280,1.0
01075,21,1.0
01075,1274,1.0
01077,21,1.0
01077,1273,1.0
01079,21,1.0
01079,1273,1.0
01080,21,1.0
01080,1273,1.0
01081,21,1.0
01081,1273,1.0
01082,21,1.0
01082,1273,0.001276
01082,1274,0.731146
01082,1280,0.267578
01083,21,1.0
01083,1280,1.0
01084,21,1.0
01084,1274,1.0
01085,21,1.0
01085,1273,1.0
01088,21,1.0
01088,1274,1.0
01089,21,1.0
01089,1273,1.0
01092,21,1.0
01092,1280,1.0
01093,21,1.0
01093,1272,1.0
01094,21,1.0
01094,1280,1.0
01095,21,1.0
01095,1273,1.0
01096,21,1.0
01096,1272,0.079735
01096,1274,0.920265
01097,21,1.0
01097,1273,1.0
01098,21,1.0
01098,1274,1.0
01103,21,1.0
01103,1273,1.0
01103,3326,1.0
01104,21,1.0
01104,1273,1.0
01104,3326,1.0
01105,21,1.0
01105,1273,1.0
01105,3326,1.0
01106,21,1.0
01106,1273,1.0
01106,3326,0.054288
01107,21,1.0
01107,1273,1.0
01107,3326,1.0
01108,21,1.0
01108,1273,1.0
01108,3326,0.993907
01109,21,1.0
01109,1273,1.0
01109,3326,1.0
01118,21,1.0
01118,1273,1.0
01118,3326,1.0
01119,21,1.0
01119,1273,1.0
01119,3326,1.0
01128,21,1.0
01128,1273,1.0
01128,3326,1.0
01129,21,1.0
01129,1273,1.0
01129,3326,1.0
01144,21,1.0
01144,1273,1.0
01144,3326,1.0
01151,21,1.0
01151,1273,1.0
01151,3326,1.0
01201,21,1.0
01201,1268,1.0
01220,21,1.0
01220,1268,1.0
01222,21,1.0
01222,1268,1.0
01223,21,1.0
01223,1268,0.99951
01223,1273,0.00049
01224,21,1.0
01224,1268,1.0
01225,21,1.0
01225,1268,1.0
01226,21,1.0
01226,1268,1.0
01229,21,1.0
01229,1268,1.0
01230,21,1.0
01230,1268,1.0
01235,21,1.0
01235,1268,1.0
01236,21,1.0
01236,1268,1.0
01237,21,1.0
01237,1268,1.0
01238,21,1.0
01238,1268,1.0
01240,21,1.0
01240,1268,1.0
01242,21,1.0
01242,1268,1.0
01243,21,1.0
01243,1274,1.0
01244,21,1.0
01244,1268,1.0
01245,21,1.0
01245,1268,1.0
01247,21,1.0
01247,1268,1.0
01253,21,1.0
01253,1268,1.0
01254,21,1.0
01254,1268,1.0
01255,21,1.0
01255,1268,1.0
01256,21,1.0
01256,1268,1.0
01257,21,1.0
01257,1268,1.0
01258,21,1.0
01258,1268,1.0
01259,21,1.0
01259,1268,1.0
01260,21,1.0
01260,1268,1.0
01262,21,1.0
01262,1268,1.0
01264,21,1.0
01264,1268,1.0
01266,21,1.0
01266,1268,1.0
01267,21,1.0
01267,1268,1.0
01270,21,1.0
01270,1268,1.0
01301,21,1.0
01301,1272,1.0
01330,21,1.0
01330,1272,1.0
01331,21,1.0
01331,1272,0.002657
01331,1280,0.997343
01337,21,1.0
01337,1272,1.0
01338,21,1.0
01338,1272,1.0
01339,21,1.0
01339,1272,1.0
01340,21,1.0
01340,1272,1.0
01341,21,1.0
01341,1272,1.0
01342,21,1.0
01342,1272,1.0
01343,21,1.0
01343,1268,1.0
01344,21,1.0
01344,1272,1.0
01346,21,1.0
01346,1272,1.0
01347,21,1.0
01347,1272,1.0
01349,21,1.0
01349,1272,1.0
01350,21,1.0
01350,1272,1.0
01351,21,1.0
01351,1272,1.0
01354,21,1.0
01354,1272,1.0
01355,21,1.0
01355,1272,1.0
01360,21,1.0
01360,1272,1.0
01364,21,1.0
01364,1272,1.0
01366,21,1.0
01366,1280,1.0
01367,21,1.0
01367,1272,1.0
01368,21,1.0
01368,1280,1.0
01370,21,1.0
01370,1272,1.0
01373,21,1.0
01373,1272,1.0
01375,21,1.0
01375,1272,1.0
01376,21,1.0
01376,1272,1.0
01378,21,1.0
01378,1272,1.0
01379,21,1.0
01379,1272,1.0
01380,21,1.0
01380,1272,1.0
01420,21,1.0
01420,1280,1.0
01430,21,1.0
01430,1280,1.0
01431,21,1.0
01431,1275,1.0
01432,21,1.0
01432,1275,1.0
01434,21,1.0
01434,1275,0.177962
01434,1280,0.822038
01436,21,1.0
01436,1280,1.0
01438,21,1.0
01438,1280,1.0
01440,21,1.0
01440,1280,1.0
01450,21,1.0
01450,1275,1.0
01451,21,1.0
01451,1280,1.0
01452,21,1.0
01452,1280,1.0
01453,21,1.0
01453,1280,1.0
01460,21,1.0
01460,1275,1.0
01462,21,1.0
01462,1280,1.0
01463,21,1.0
01463,1275,1.0
01464,21,1.0
01464,1275,1.0
01468,21,1.0
01468,1280,1.0
01469,21,1.0
01469,1275,1.0
01473,21,1.0
01473,1280,1.0
01474,21,1.0
01474,1275,1.0
01475,21,1.0
01475,1280,1.0
01501,21,1.0
01501,1280,1.0
01503,21,1.0
01503,1280,1.0
01504,21,1.0
01504,1280,1.0
01505,21,1.0
01505,1280,1.0
01506,21,1.0
01506,1280,1.0
01507,21,1.0
01507,1280,1.0
01510,21,1.0
01510,1280,1.0
01515,21,1.0
01515,1280,1.0
01516,21,1.0
01516,1280,1.0
01518,21,1.0
01518,1280,1.0
01519,21,1.0
01519,1280,1.0
01520,21,1.0
01520,1280,1.0
01521,21,1.0
01521,1273,1.0
01522,21,1.0
01522,1280,1.0
01523,21,1.0
01523,1280,1.0
01524,21,1.0
01524,1280,1.0
01525,21,1.0
01525,1280,1.0
01527,21,1.0
01527,1280,1.0
01529,21,1.0
01529,1280,1.0
01531,21,1.0
01531,1280,1.0
01532,21,1.0
01532,1280,1.0
01534,21,1.0
01534,1280,1.0
01535,21,1.0
01535,1280,1.0
01536,21,1.0
01536,1280,1.0
01537,21,1.0
01537,1280,1.0
01540,21,1.0
01540,1280,1.0
01541,21,1.0
01541,1280,1.0
01542,21,1.0
01542,1280,1.0
01543,21,1.0
01543,1280,1.0
01545,21,1.0
01545,1280,1.0
01550,21,1.0
01550,1280,1.0
01560,21,1.0
01560,1280,1.0
01561,21,1.0
01561,1280,1.0
01562,21,1.0
01562,1280,1.0
01564,21,1.0
01564,1280,1.0
01566,21,1.0
01566,1280,1.0
01568,21,1.0
01568,1280,1.0
01569,21,1.0
01569,1280,1.0
01570,21,1.0
01570,1280,1.0
01571,21,1.0
01571,1280,1.0
01581,21,1.0
01581,1280,1.0
01583,21,1.0
01583,1280,1.0
01585,21,1.0
01585,1280,1.0
01588,21,1.0
01588,1280,1.0
01590,21,1.0
01590,1280,1.0
01602,21,1.0
01602,1280,1.0
01603,21,1.0
01603,1280,1.0
01604,21,1.0
01604,1280,1.0
01605,21,1.0
01605,1280,1.0
01606,21,1.0
01606,1280,1.0
01607,21,1.0
01607,1280,1.0
01608,21,1.0
01608,1280,1.0
01609,21,1.0
01609,1280,1.0
01610,21,1.0
01610,1280,1.0
01611,21,1.0
01611,1280,1.0
01612,21,1.0
01612,1280,1.0
01701,21,1.0
01701,1275,1.0
01702,21,1.0
01702,1275,1.0
01718,21,1.0
01718,1275,1.0
01719,21,1.0
01719,1275,1.0
01720,21,1.0
01720,1275,1.0
01721,21,1.0
01721,1275,1.0
01730,21,1.0
01730,1275,1.0
01731,21,1.0
01731,1275,1.0
01740,21,1.0
01740,1280,1.0
01741,21,1.0
01741,1275,1.0
01742,21,1.0
01742,1275,1.0
01745,21,1.0
01745,1280,1.0
01746,21,1.0
01746,1275,1.0
01747,21,1.0
01747,1280,1.0
01748,21,1.0
01748,1275,1.0
01749,21,1.0
01749,1275,0.999966
01749,1280,3.4e-05
01752,21,1.0
01752,1275,1.0
01754,21,1.0
01754,1275,1.0
01756,21,1.0
01756,1280,1.0
01757,21,1.0
01757,1280,1.0
01760,21,1.0
01760,1275,1.0
01770,21,1.0
01770,1275,1.0
01772,21,1.0
01772,1280,1.0
01773,21,1.0
01773,1275,1.0
01775,21,1.0
01775,1275,1.0
01776,21,1.0
01776,1275,1.0
01778,21,1.0
01778,1275,1.0
01801,21,1.0
01801,1275,1.0
01803,21,1.0
01803,1275,1.0
01810,21,1.0
01810,1271,1.0
01810,3331,1.0
01821,21,1.0
01821,1275,1.0
01824,21,1.0
01824,1275,1.0
01826,21,1.0
01826,1271,0.005572
01826,1275,0.994428
01827,21,1.0
01827,1275,1.0
01830,21,1.0
01830,1271,1.0
01832,21,1.0
01832,1271,1.0
01833,21,1.0
01833,1271,1.0
01834,21,1.0
01834,1271,1.0
01835,21,1.0
01835,1271,1.0
01840,21,1.0
01840,1271,1.0
01840,3328,1.0
01841,21,1.0
01841,1271,1.0
01841,3328,0.999878
01843,21,1.0
01843,1271,1.0
01843,3328,0.999719
01843,3330,0.000281
01844,21,1.0
01844,1271,1.0
01844,3328,0.000116
01844,3331,3e-06
01845,21,1.0
01845,1271,1.0
01845,3328,1.1e-05
01845,3330,0.995468
01845,3331,0.004521
01850,21,1.0
01850,1275,1.0
01851,21,1.0
01851,1275,1.0
01852,21,1.0
01852,1275,1.0
01854,21,1.0
01854,1275,1.0
01860,21,1.0
01860,1271,1.0
01862,21,1.0
01862,1275,1.0
01863,21,1.0
01863,1275,1.0
01864,21,1.0
01864,1275,1.0
01867,21,1.0
01867,1275,1.0
01876,21,1.0
01876,1271,0.008333
01876,1275,0.991667
01876,3331,0.008333
01879,21,1.0
01879,1275,1.0
01880,21,1.0
01880,1275,1.0
01886,21,1.0
01886,1275,1.0
01887,21,1.0
01887,1275,1.0
01890,21,1.0
01890,1275,1.0
01901,21,1.0
01901,1271,1.0
01902,21,1.0
01902,1271,1.0
01904,21,1.0
01904,1271,1.0
01905,21,1.0
01905,1271,1.0
01906,21,1.0
01906,1271,1.0
01907,21,1.0
01907,1271,1.0
01908,21,1.0
01908,1271,1.0
01913,21,1.0
01913,1271,1.0
01915,21,1.0
01915,1271,1.0
01921,21,1.0
01921,1271,1.0
01922,21,1.0
01922,1271,1.0
01923,21,1.0
01923,1271,1.0
01929,21,1.0
01929,1271,1.0
01930,21,1.0
01930,1271,1.0
01937,21,1.0
01937,1271,1.0
01938,21,1.0
01938,1271,1.0
01940,21,1.0
01940,1271,0.999861
01940,1275,0.000139
01944,21,1.0
01944,1271,1.0
01945,21,1.0
01945,1271,1.0
01949,21,1.0
01949,1271,1.0
01950,21,1.0
01950,1271,1.0
01951,21,1.0
01951,1271,1.0
01952,21,1.0
01952,1271,1.0
01960,21,1.0
01960,1271,1.0
01965,21,1.0
01965,1271,1.0
01966,21,1.0
01966,1271,1.0
01969,21,1.0
01969,1271,1.0
01970,21,1.0
01970,1271,1.0
01982,21,1.0
01982,1271,1.0
01983,21,1.0
01983,1271,1.0
01984,21,1.0
01984,1271,1.0
01985,21,1.0
01985,1271,1.0
02019,21,1.0
02019,1277,1.0
02021,21,1.0
02021,1277,1.0
02025,21,1.0
02025,1277,1.0
02026,21,1.0
02026,1277,1.0
02030,21,1.0
02030,1277,1.0
02032,21,1.0
02032,1277,1.0
02035,21,1.0
02035,1277,1.0
02038,21,1.0
02038,1277,1.0
02043,21,1.0
02043,1278,1.0
02045,21,1.0
02045,1278,1.0
02047,21,1.0
02047,1278,1.0
02048,21,1.0
02048,1269,1.0
02050,21,1.0
02050,1278,1.0
02052,21,1.0
02052,1277,1.0
02053,21,1.0
02053,1275,0.000151
02053,1277,0.999849
02054,21,1.0
02054,1277,1.0
02056,21,1.0
02056,1277,1.0
02061,21,1.0
02061,1278,1.0
02062,21,1.0
02062,1277,1.0
02066,21,1.0
02066,1278,1.0
02067,21,1.0
02067,1277,1.0
02071,21,1.0
02071,1277,1.0
02072,21,1.0
02072,1277,1.0
02081,21,1.0
02081,1277,1.0
02090,21,1.0
02090,1277,1.0
02093,21,1.0
02093,1277,1.0
02108,21,1.0
02108,1279,1.0
02109,21,1.0
02109,1279,1.0
02110,21,1.0
02110,1279,1.0
02111,21,1.0
02111,1279,1.0
02113,21,1.0
02113,1279,1.0
02114,21,1.0
02114,1279,1.0
02115,21,1.0
02115,1279,1.0
02116,21,1.0
02116,1279,1.0
02118,21,1.0
02118,1279,1.0
02119,21,1.0
02119,1279,1.0
02120,21,1.0
02120,1279,1.0
02121,21,1.0
02121,1279,1.0
02122,21,1.0
02122,1279,1.0
02124,21,1.0
02124,1279,1.0
02125,21,1.0
02125,1279,1.0
02126,21,1.0
02126,1279,1.0
02127,21,1.0
02127,1279,1.0
02128,21,1.0
02128,1279,1.0
02129,21,1.0
02129,1279,1.0
02130,21,1.0
02130,1279,1.0
02131,21,1.0
02131,1279,1.0
02132,21,1.0
02132,1279,1.0
02133,21,1.0
02133,1279,1.0
02134,21,1.0
02134,1279,1.0
02135,21,1.0
02135,1279,1.0
02136,21,1.0
02136,1279,1.0
02138,21,1.0
02138,1275,1.0
02139,21,1.0
02139,1275,1.0
02140,21,1.0
02140,1275,1.0
02141,21,1.0
02141,1275,1.0
02142,21,1.0
02142,1275,1.0
02143,21,1.0
02143,1275,1.0
02144,21,1.0
02144,1275,1.0
02145,21,1.0
02145,1275,1.0
02148,21,1.0
02148,1275,1.0
02149,21,1.0
02149,1275,0.999176
02149,1279,0.000824
02150,21,1.0
02150,1279,1.0
02151,21,1.0
02151,1279,1.0
02152,21,1.0
02152,1279,1.0
02155,21,1.0
02155,1275,1.0
02163,21,1.0
02163,1279,1.0
02169,21,1.0
02169,1277,1.0
02169,3327,0.994728
02170,21,1.0
02170,1277,1.0
02170,3327,0.999804
02171,21,1.0
02171,1277,1.0
02171,3327,0.999586
02176,21,1.0
02176,1275,1.0
02180,21,1.0
02180,1275,1.0
02184,21,1.0
02184,1277,1.0
02186,21,1.0
02186,1277,1.0
02186,3327,0.00065
02188,21,1.0
02188,1277,1.0
02189,21,1.0
02189,1277,1.0
02190,21,1.0
02190,1277,1.0
02191,21,1.0
02191,1277,1.0
02191,3327,0.000868
02199,21,1.0
02199,1279,1.0
02203,21,1.0
02203,1279,1.0
02205,21,1.0
02205,1279,1.0
02210,21,1.0
02210,1279,1.0
02215,21,1.0
02215,1277,0.043287
02215,1279,0.956713
02301,21,1.0
02301,1278,1.0
02301,3329,1.0
02302,21,1.0
02302,1278,1.0
02302,3329,1.0
02322,21,1.0
02322,1277,1.0
02324,21,1.0
02324,1278,1.0
02325,21,1.0
02325,1278,1.0
02330,21,1.0
02330,1278,1.0
02332,21,1.0
02332,1278,1.0
02333,21,1.0
02333,1278,1.0
02338,21,1.0
02338,1278,1.0
02339,21,1.0
02339,1278,1.0
02341,21,1.0
02341,1278,1.0
02343,21,1.0
02343,1277,1.0
02346,21,1.0
02346,1278,1.0
02347,21,1.0
02347,1278,1.0
02350,21,1.0
02350,1278,1.0
02351,21,1.0
02351,1278,1.0
02351,3329,0.000395
02356,21,1.0
02356,1269,1.0
02357,21,1.0
02357,1269,1.0
02359,21,1.0
02359,1278,1.0
02360,21,1.0
02360,1278,1.0
02360,3325,0.999985
02364,21,1.0
02364,1278,1.0
02366,21,1.0
02366,1278,1.0
02366,3325,1.0
02367,21,1.0
02367,1278,1.0
02368,21,1.0
02368,1277,1.0
02370,21,1.0
02370,1278,1.0
02375,21,1.0
02375,1269,1.0
02379,21,1.0
02379,1278,1.0
02382,21,1.0
02382,1278,1.0
02420,21,1.0
02420,1275,1.0
02421,21,1.0
02421,1275,1.0
02445,21,1.0
02445,1277,0.973718
02445,1279,0.026282
02446,21,1.0
02446,1277,0.998416
02446,1279,0.001584
02451,21,1.0
02451,1275,1.0
02452,21,1.0
02452,1275,1.0
02453,21,1.0
02453,1275,1.0
02457,21,1.0
02457,1277,1.0
02458,21,1.0
02458,1275,1.0
02459,21,1.0
02459,1275,1.0
02460,21,1.0
02460,1275,1.0
02461,21,1.0
02461,1275,1.0
02462,21,1.0
02462,1275,1.0
02464,21,1.0
02464,1275,1.0
02465,21,1.0
02465,1275,1.0
02466,21,1.0
02466,1275,1.0
02467,21,1.0
02467,1275,0.286899
02467,1277,0.570668
02467,1279,0.142433
02468,21,1.0
02468,1275,1.0
02472,21,1.0
02472,1275,1.0
02474,21,1.0
02474,1275,1.0
02476,21,1.0
02476,1275,1.0
02478,21,1.0
02478,1275,1.0
02481,21,1.0
02481,1277,1.0
02482,21,1.0
02482,1277,1.0
02492,21,1.0
02492,1277,1.0
02493,21,1.0
02493,1275,1.0
02494,21,1.0
02494,1277,1.0
02532,21,1.0
02532,1267,0.900218
02532,1278,0.099782
02534,21,1.0
02534,1267,1.0
02535,21,1.0
02535,1270,1.0
02536,21,1.0
02536,1267,1.0
02537,21,1.0
02537,1267,1.0
02538,21,1.0
02538,1278,1.0
02539,21,1.0
02539,1270,1.0
02540,21,1.0
02540,1267,1.0
02542,21,1.0
02542,1267,1.0
02543,21,1.0
02543,1267,0.0759
02543,1270,0.9241
02553,21,1.0
02553,1267,1.0
02554,21,1.0
02554,1276,1.0
02556,21,1.0
02556,1267,1.0
02557,21,1.0
02557,1270,1.0
02558,21,1.0
02558,1278,1.0
02559,21,1.0
02559,1267,1.0
02561,21,1.0
02561,1267,1.0
02562,21,1.0
02562,1267,1.0
02563,21,1.0
02563,1267,1.0
02564,21,1.0
02564,1276,1.0
02568,21,1.0
02568,1270,1.0
02571,21,1.0
02571,1278,1.0
02575,21,1.0
02575,1270,1.0
02576,21,1.0
02576,1278,1.0
02584,21,1.0
02584,1276,1.0
02601,21,1.0
02601,1267,1.0
02630,21,1.0
02630,1267,1.0
02631,21,1.0
02631,1267,1.0
02632,21,1.0
02632,1267,1.0
02633,21,1.0
02633,1267,1.0
02635,21,1.0
02635,1267,1.0
02637,21,1.0
02637,1267,1.0
02638,21,1.0
02638,1267,1.0
02639,21,1.0
02639,1267,1.0
02641,21,1.0
02641,1267,1.0
02642,21,1.0
02642,1267,1.0
02643,21,1.0
02643,1267,1.0
02644,21,1.0
