tract_geoid,total_pop,poverty_pop,poverty_percent,mfi,is_urban
18113972000,3061,256,0.0836327997386475,65357,false
19023070300,2628,256,0.0974124809741248,71250,false
13115000202,3769,256,0.067922525868930744,85845,false
20037956900,3872,256,0.066115702479338845,67135,true
20161001301,3508,256,0.072976054732041051,105909,true
06087120800,5737,256,0.044622625065365171,180871,true
06095252904,7049,256,0.036317208114626187,108564,true
06059032038,6361,256,0.04024524445841849,136797,true
06111001602,2440,256,0.10491803278688525,101750,true
06001438201,5135,256,0.0498539435248296,71607,true
06037570702,2296,256,0.11149825783972125,125536,true
06085502604,4116,256,0.062196307094266275,102039,true
41007950900,4544,256,0.056338028169014086,67428,true
41045970700,1575,256,0.16253968253968254,55455,false
51019030202,5511,256,0.046452549446561422,78750,false
51770002100,3284,256,0.0779537149817296,82311,true
28121020803,2410,256,0.10622406639004149,90221,false
42045401501,3449,256,0.0742244128732966,72589,true
42079215900,3431,256,0.074613815214223264,77321,false
42097081900,5486,256,0.046664236237695951,78684,false
42101026900,1799,256,0.14230127848804891,81250,true
42003520002,3036,256,0.084321475625823455,64675,true
42129804701,3000,256,0.08533333333333333,89148,true
29165030306,4995,256,0.051251251251251254,145577,true
29095003700,864,256,0.29629629629629628,34340,true
29095013608,5346,256,0.047886270108492328,100742,true
53061051913,4958,256,0.051633723275514319,140203,true
53041971400,2879,256,0.088919763806877383,87632,false
53005010810,5161,256,0.049602790156946325,106989,true
47165021002,7354,256,0.034810987217840629,88194,true
47037017000,2938,256,0.087134104833219872,123125,true
47031970100,3665,256,0.069849931787176,67601,false
08123002205,4853,256,0.052750875746960642,83750,true
08069001004,3541,256,0.072295961592770408,109412,true
08101001600,1656,256,0.15458937198067632,71141,true
08101003001,1443,256,0.17740817740817741,39152,false
08045951802,4100,256,0.0624390243902439,96754,false
08001008544,5717,256,0.044778730103200978,129938,true
11001011000,4063,256,0.063007629830174744,145750,true
09009171500,3017,256,0.084852502485913153,48318,true
36081029500,3594,256,0.071229827490261549,83009,true
36061011700,4191,256,0.061083273681698878,189868,true
36059410300,6756,256,0.037892243931320305,123644,true
36043010900,3408,256,0.075117370892018781,74688,false
36047054800,2074,256,0.12343297974927676,98125,true
36091061200,5037,256,0.050823903116934681,115188,true
36055011703,8571,256,0.0298681600746704,116830,true
37119005911,7181,256,0.035649630970616908,126250,true
37119006209,5145,256,0.049757045675413024,121987,true
37063002007,4823,256,0.053078996475222892,111278,true
48157673003,11883,256,0.021543381301018263,166433,true
48481741100,2455,256,0.10427698574338086,70455,false
48201411200,1871,256,0.136825227151256,250001,true
48113013622,2625,256,0.097523809523809527,54875,true
48439113618,5780,256,0.044290657439446365,81776,true
48139061300,3226,256,0.079355238685678856,94083,false
12069030305,2765,256,0.092585895117540687,49268,false
12105010604,3565,256,0.071809256661991588,59567,true
12057011521,4331,256,0.059108750865850844,79297,true
12099001102,1911,256,0.13396127681841968,120077,true
12101030404,2792,256,0.091690544412607447,72300,true
39153530606,5686,256,0.045022863172704888,118909,true
39093050200,3616,256,0.070796460176991149,82225,true
39101000800,2252,256,0.11367673179396093,54097,true
39017001001,5529,256,0.046301320311086996,88056,true
39025041303,5084,256,0.05035405192761605,84115,true
39041011550,11714,256,0.021854191565647944,146788,true
39085202800,5736,256,0.044630404463040445,81429,true
21209040203,4408,256,0.058076225045372049,75282,true
21151010702,3908,256,0.065506653019447289,92772,true
22099020900,1944,256,0.13168724279835392,66750,true
22071004800,389,256,0.65809768637532129,19265,true
23019012500,2488,256,0.10289389067524116,62604,false
25027761200,5311,256,0.048201845226887592,95708,true
26163567900,2979,256,0.085934877475662974,77763,true
26145011100,1750,256,0.1462857142857143,59307,false
27119020500,2762,256,0.092686459087617662,93516,false
27053027501,4669,256,0.054829727993146282,140121,true
01031010400,1704,256,0.15023474178403756,55395,false
01093964500,2049,256,0.12493899463152758,51288,false
01073010500,1200,256,0.21333333333333335,46528,true
04027011110,3142,256,0.081476766390833857,62113,true
40047001300,8173,256,0.031322647742566989,100400,true
40109108803,1005,256,0.25472636815920396,40446,false
40109108508,2066,256,0.12391093901258471,79728,true
40109100700,1217,256,0.21035332785538208,52667,true
55117000202,4166,256,0.061449831973115696,62107,true
30111001801,6489,256,0.0394513792572045,130495,true
32003003222,5000,256,0.0512,83438,true
34003051400,5031,256,0.05088451600079507,134167,true
34035052700,7678,256,0.033342016150039074,202670,true
34039035900,3950,256,0.064810126582278485,114435,true
34017014101,3641,256,0.0703103542982697,110568,true
17043841208,5656,512,0.090523338048090526,91086,true
17031817900,5652,512,0.09058740268931352,68150,true
17031030500,6607,512,0.077493567428484941,111466,true
17197883215,11933,512,0.042906226430905893,100549,true
18019050306,2335,512,0.21927194860813704,52292,true
13111050100,3778,512,0.13552143991529911,53646,false
13089022302,4360,512,0.11743119266055047,126480,true
13253200100,2648,512,0.19335347432024169,47963,false
13067031404,6273,512,0.081619639725809018,91281,true
05085020202,3335,512,0.15352323838080958,54591,true
05009790400,5930,512,0.086340640809443508,70341,false
06083002210,6859,512,0.074646449919813382,86327,true
06067007428,3515,512,0.14566145092460883,69712,true
06075023200,3924,512,0.13047910295616719,82453,true
06073008509,7355,512,0.06961250849762067,114144,true
06037197300,4052,512,0.12635735439289239,96292,true
06037208710,4858,512,0.1053931659118979,73857,true
16081960100,11399,512,0.044916220721115889,89922,false
16005000200,3955,512,0.12945638432364096,77103,false
41051003803,4463,512,0.11472103965942192,83795,true
51083930500,4263,512,0.12010321369927281,70298,false
42045406802,4251,512,0.12044224888261586,83125,true
42069102000,2356,512,0.21731748726655348,45868,true
42091203700,1669,512,0.3067705212702217,55000,true
42075004000,8118,512,0.063069721606306972,87750,true
29161890500,3662,512,0.13981430912069906,65593,false
29175490500,4258,512,0.12024424612494129,58125,true
29095014114,7113,512,0.07198088007872909,84158,true
53015000800,6860,512,0.074635568513119532,82768,true
47129110300,3460,512,0.14797687861271677,53292,false
47093004300,2804,512,0.18259629101283881,57102,true
44007016000,3450,512,0.14840579710144927,78114,true
46103011600,7850,512,0.065222929936305726,72739,false
08031000402,5711,512,0.0896515496410436,118125,true
08083969600,4836,512,0.10587262200165426,70558,false
08013013306,4690,512,0.1091684434968017,67216,true
36081044601,3360,512,0.15238095238095239,57011,true
36081050700,4102,512,0.12481716235982447,72833,true
36063020100,3394,512,0.15085444902769593,86129,true
36005031000,3876,512,0.13209494324045407,98705,true
37067004102,3381,512,0.15143448683821353,72813,true
37001020501,3775,512,0.13562913907284768,75938,true
48003950300,4865,512,0.1052415210688592,76446,true
48485010600,2213,512,0.23136014460009038,48934,true
48257050201,9595,512,0.053361125586242834,100924,true
48491021507,12891,512,0.03971763245675277,76712,true
12031016200,2331,512,0.21964821964821965,51964,true
12103024505,6822,512,0.075051304602755789,59547,true
12083002302,7527,512,0.068021788229042118,67073,true
12101031014,3672,512,0.13943355119825709,41156,true
12101031808,3428,512,0.14935822637106183,75818,false
39023002701,2858,512,0.17914625612316304,46168,true
39097040700,2906,512,0.17618719889883,68077,true
39151701100,3320,512,0.15421686746987953,61250,true
22087030209,3320,512,0.15421686746987953,76818,true
22071007605,1466,512,0.34924965893587995,31058,true
26139024300,5528,512,0.092619392185238777,96181,false
26065003801,3898,512,0.13134940995382247,99545,true
27053101900,2569,512,0.19929933826391591,94342,true
01003010903,5497,512,0.093141713661997458,66131,true
40109108511,13867,512,0.036922189370447826,120512,true
40109103602,569,512,0.89982425307557112,-666666666,true
55079004600,2202,512,0.23251589464123523,37500,true
31065963900,4636,512,0.11044003451251079,63917,false
34029728000,5229,512,0.097915471409447313,99983,true
17097861201,6586,768,0.1166109930154874,72625,true
