county_geoid,is_metro
01001,True
01003,True
01005,False
01007,True
01009,True
01011,False
01013,False
01015,True
01017,False
01019,False
01021,True
01023,False
01025,False
01027,False
01029,False
01031,False
01033,True
01035,False
01037,False
01039,False
01041,False
01043,False
01045,False
01047,False
01049,False
01051,True
01053,False
01055,True
01057,False
01059,False
01061,True
01063,True
01065,True
01067,True
01069,True
01071,False
01073,True
01075,False
01077,True
01079,True
01081,True
01083,True
01085,True
01087,False
01089,True
01091,False
01093,False
01095,False
01097,True
01099,False
01101,True
01103,True
01105,False
01107,True
01109,False
01111,False
01113,True
01115,True
01117,True
01119,False
01121,False
01123,False
01125,True
01127,False
01129,True
01131,False
01133,False
02013,False
02016,False
02020,True
02050,False
02060,False
02063,False
02066,False
02068,False
02070,False
02090,True
02100,False
02105,False
02110,False
02122,False
02130,False
02150,False
02158,False
02164,False
02170,True
02180,False
02185,False
02188,False
02195,False
02198,False
02220,False
02230,False
02240,False
02275,False
02282,False
02290,False
04001,False
04003,True
04005,True
04007,False
04009,False
04011,False
04012,False
04013,True
04015,True
04017,False
04019,True
04021,True
04023,False
04025,True
04027,True
05001,False
05003,False
05005,False
05007,True
05009,False
05011,False
05013,False
05015,False
05017,False
05019,False
05021,False
05023,False
05025,True
05027,False
05029,False
05031,True
05033,True
05035,True
05037,False
05039,False
05041,False
05043,False
05045,True
05047,True
05049,False
05051,True
05053,True
05055,False
05057,False
05059,False
05061,False
05063,False
05065,False
05067,False
05069,True
05071,False
05073,False
05075,False
05077,False
05079,True
05081,True
05083,False
05085,True
05087,True
05089,False
05091,True
05093,False
05095,False
05097,False
05099,False
05101,False
05103,False
05105,True
05107,False
05109,False
05111,True
05113,False
05115,False
05117,False
05119,True
05121,False
05123,False
05125,True
05127,False
05129,False
05131,True
05133,False
05135,False
05137,False
05139,False
05141,False
05143,True
05145,False
05147,False
05149,False
06001,True
06003,False
06005,False
06007,True
06009,False
06011,False
06013,True
06015,False
06017,True
06019,True
06021,False
06023,False
06025,True
06027,False
06029,True
06031,True
06033,False
06035,False
06037,True
06039,True
06041,True
06043,False
06045,False
06047,True
06049,False
06051,False
06053,True
06055,True
06057,False
06059,True
06061,True
06063,False
06065,True
06067,True
06069,True
06071,True
06073,True
06075,True
06077,True
06079,True
06081,True
06083,True
06085,True
06087,True
06089,True
06091,False
06093,False
06095,True
06097,True
06099,True
06101,True
06103,False
06105,False
06107,True
06109,False
06111,True
06113,True
06115,True
08001,True
08003,False
08005,True
08007,False
08009,False
08011,False
08013,True
08014,True
08015,False
08017,False
08019,True
08021,False
08023,False
08025,False
08027,False
08029,False
08031,True
08033,False
08035,True
08037,False
08039,True
08041,True
08043,False
08045,False
08047,True
08049,False
08051,False
08053,False
08055,False
08057,False
08059,True
08061,False
08063,False
08065,False
08067,False
08069,True
08071,False
08073,False
08075,False
08077,True
08079,False
08081,False
08083,False
08085,False
08087,False
08089,False
08091,False
08093,True
08095,False
08097,False
08099,False
08101,True
08103,False
08105,False
08107,False
08109,False
08111,False
08113,False
08115,False
08117,False
